"REQ. TIME","DEVICE ID","IP ADDRESS","LOCATION","COUNTRY","CARRIER","APP BUNDLE","MAKE","MODEL","CONNECTION TYPE","GEO TYPE"
"2024-09-07 05:22:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.187.100","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-10-08 15:22:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-08-16 05:02:00","244ea4ad-4e34-42d1-a69d-60b2badcc0e3","37.111.143.105","31.543886, 74.31688","PK","Telenor Pakistan","com.blued.international","Vivo","1901","Cellular Network- 4G","GPS/Location Services"
"2024-08-25 05:17:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.185.225","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-13 05:03:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2025-02-12 20:57:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-10-08 15:22:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-08-25 05:19:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.185.225","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 20:59:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-09-30 04:38:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.183.224","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-30 04:38:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.183.224","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 20:59:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.810684, 73.92036","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-10-08 15:26:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-09-30 04:36:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.183.224","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-11 04:43:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.54, 74.51","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-30 04:39:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.183.224","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-30 04:39:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","119.155.183.224","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-11 04:43:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.54, 74.51","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-10-08 15:26:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-12-21 04:47:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-23 05:20:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.181.64","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-11-26 03:33:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Wifi","GPS/Location Services"
"2025-02-12 21:09:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.805588, 73.91624","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-09-25 04:34:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-10-08 15:22:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-12-21 04:47:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-10-02 01:35:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Wifi","GPS/Location Services"
"2025-02-12 21:11:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.805695, 73.91623","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-21 04:49:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-14 04:34:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.171.76","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:34:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-12-21 04:49:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-08 05:28:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.175.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-01 04:41:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Wifi","GPS/Location Services"
"2024-09-14 04:34:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.171.76","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:41:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-10-08 15:28:00","9fd7a481-c8c8-4a60-b8e1-f4bdf2b4a56c","223.123.86.129","32.92259, 74.070465","PK","Zong","com.blued.international.qy","Infinix","X680B","Cellular Network- 4G","GPS/Location Services"
"2024-12-21 04:55:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-25 02:16:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:41:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-12-21 04:51:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:41:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-12-21 04:51:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:45:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2025-02-12 21:11:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.805695, 73.91623","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-25 19:18:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","103.170.179.60","32.87092, 74.243835","pk","netpoint it & communications pvt.","com.callapp.contacts","vivo","v2066","Wifi","GPS/Location Services"
"2024-09-25 04:41:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-08 05:27:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.175.137","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2025-02-12 21:11:00","38ae296f-57ff-4fbf-9cd5-26e6d9056e3b","154.80.25.144","32.805695, 73.91623","pk","mobilink mobile internet","com.blued.international","samsung","sm-s908b","Cellular Network- 4G","GPS/Location Services"
"2024-12-21 04:55:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","pk","telcomasters pvt. ltd.","com.dubox.drive","samsung","sm-a336b","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:45:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","Samsung","SM-A336B","Wifi","GPS/Location Services"
"2024-09-14 04:32:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.171.76","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-14 04:32:00","563eea33-200c-4306-9c7e-3a1b5cb9c03d","116.71.171.76","30, 70","PK","PTCL","com.dubox.drive","vivo","V2066","Cellular Network- Unknown Generation","GPS/Location Services"
"2024-09-25 04:45:00","559565b9-b021-4686-a0d7-79a54dfe83ee","103.120.71.109","32.55, 74.5167","PK","Telcomasters PVT. LTD.","com.dubox.drive","samsung","SM-A336B","Cellular Network- Unknown Generation","GPS/Location Services"
